year_month,"All Ham (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)_x","All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)_x","All Pork Chops, per lb. (453.6 gm)_x","All Uncooked Beef Roasts, per lb. (453.6 gm)_x","All Uncooked Beef Steaks, per lb. (453.6 gm)_x","All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm)_x","Bacon, sliced, per lb. (453.6 gm)_x","Beef for stew, boneless, per lb. (453.6 gm)_x","Bread, white, pan, per lb. (453.6 gm)_x","Bread, whole wheat, pan, per lb. (453.6 gm)_x","Chicken, fresh, whole, per lb. (453.6 gm)_x","Chops, boneless, per lb. (453.6 gm)_x","Chops, center cut, bone-in, per lb. (453.6 gm)_x","Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)_x","Cookies, chocolate chip, per lb. (453.6 gm)_x","Flour, white, all purpose, per lb. (453.6 gm)_x","Ground beef, 100% beef, per lb. (453.6 gm)_x","Ground beef, lean and extra lean, per lb. (453.6 gm)_x","Ground chuck, 100% beef, per lb. (453.6 gm)_x","Ham, boneless, excluding canned, per lb. (453.6 gm)_x","Rice, white, long grain, uncooked, per lb. (453.6 gm)_x","Round roast, USDA Choice, boneless, per lb. (453.6 gm)_x","Spaghetti and macaroni, per lb. (453.6 gm)_x","Steak, round, USDA Choice, boneless, per lb. (453.6 gm)_x","Steak, sirloin, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)_x","All Ham (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)_y","All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)_y","All Pork Chops, per lb. (453.6 gm)_y","All Uncooked Beef Roasts, per lb. (453.6 gm)_y","All Uncooked Beef Steaks, per lb. (453.6 gm)_y","All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm)_y","Bacon, sliced, per lb. (453.6 gm)_y","Beef for stew, boneless, per lb. (453.6 gm)_y","Bread, white, pan, per lb. (453.6 gm)_y","Bread, whole wheat, pan, per lb. (453.6 gm)_y","Chicken, fresh, whole, per lb. (453.6 gm)_y","Chops, boneless, per lb. (453.6 gm)_y","Chops, center cut, bone-in, per lb. (453.6 gm)_y","Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)_y","Cookies, chocolate chip, per lb. (453.6 gm)_y","Flour, white, all purpose, per lb. (453.6 gm)_y","Ground beef, 100% beef, per lb. (453.6 gm)_y","Ground beef, lean and extra lean, per lb. (453.6 gm)_y","Ground chuck, 100% beef, per lb. (453.6 gm)_y","Ham, boneless, excluding canned, per lb. (453.6 gm)_y","Rice, white, long grain, uncooked, per lb. (453.6 gm)_y","Round roast, USDA Choice, boneless, per lb. (453.6 gm)_y","Spaghetti and macaroni, per lb. (453.6 gm)_y","Steak, round, USDA Choice, boneless, per lb. (453.6 gm)_y","Steak, sirloin, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)_y"
2015-01,3.211,2.991,3.988,5.838,7.53,4.734,5.589,5.712,1.479,1.948,1.546,4.484,4.167,5.624,3.428,0.545,4.235,6.032,4.375,4.405,0.692,5.62,1.264,6.052,8.08,3.211,2.991,3.988,5.838,7.53,4.734,5.589,5.712,1.479,1.948,1.546,4.484,4.167,5.624,3.428,0.545,4.235,6.032,4.375,4.405,0.692,5.62,1.264,6.052,8.08
2015-02,3.221,2.928,3.962,5.844,7.569,4.684,5.472,5.552,1.435,2.024,1.55,4.468,4.138,5.546,3.477,0.525,4.238,6.184,4.403,4.428,0.689,5.657,1.319,6.18,8.194,3.221,2.928,3.962,5.844,7.569,4.684,5.472,5.552,1.435,2.024,1.55,4.468,4.138,5.546,3.477,0.525,4.238,6.184,4.403,4.428,0.689,5.657,1.319,6.18,8.194
2015-03,3.176,2.904,3.867,5.872,7.661,4.709,5.367,5.595,1.44,2.042,1.545,4.196,4.224,5.563,3.486,0.518,4.2,6.099,4.364,4.314,0.67,5.736,1.392,6.209,8.372,3.176,2.904,3.867,5.872,7.661,4.709,5.367,5.595,1.44,2.042,1.545,4.196,4.224,5.563,3.486,0.518,4.2,6.099,4.364,4.314,0.67,5.736,1.392,6.209,8.372
2015-04,2.971,2.836,3.813,5.864,7.684,4.702,5.211,5.654,1.454,2.008,1.539,4.227,4.141,5.659,3.335,0.509,4.231,6.105,4.323,4.114,0.67,5.644,1.337,6.157,8.329,2.971,2.836,3.813,5.864,7.684,4.702,5.211,5.654,1.454,2.008,1.539,4.227,4.141,5.659,3.335,0.509,4.231,6.105,4.323,4.114,0.67,5.644,1.337,6.157,8.329
2015-05,3.045,2.804,3.786,5.915,7.773,4.59,4.94,5.581,1.463,2.041,1.483,4.273,4.132,5.7,3.212,0.52,4.136,6.195,4.308,4.164,0.676,5.653,1.335,6.185,8.816,3.045,2.804,3.786,5.915,7.773,4.59,4.94,5.581,1.463,2.041,1.483,4.273,4.132,5.7,3.212,0.52,4.136,6.195,4.308,4.164,0.676,5.653,1.335,6.185,8.816
2015-06,3.02,2.784,3.824,5.927,7.917,4.696,5.059,5.7,1.467,1.957,1.515,4.326,3.965,5.704,3.286,0.519,4.221,6.111,4.324,4.105,0.691,5.638,1.36,6.183,8.842,3.02,2.784,3.824,5.927,7.917,4.696,5.059,5.7,1.467,1.957,1.515,4.326,3.965,5.704,3.286,0.519,4.221,6.111,4.324,4.105,0.691,5.638,1.36,6.183,8.842
2015-07,3.031,2.833,3.917,5.905,7.962,4.738,5.184,5.684,1.447,1.963,1.487,4.47,4.062,5.677,3.305,0.515,4.2,6.184,4.266,4.098,0.673,5.685,1.325,6.243,8.837,3.031,2.833,3.917,5.905,7.962,4.738,5.184,5.684,1.447,1.963,1.487,4.47,4.062,5.677,3.305,0.515,4.2,6.184,4.266,4.098,0.673,5.685,1.325,6.243,8.837
2015-08,3.103,2.841,3.863,5.871,7.91,4.7,5.41,5.587,1.42,1.956,1.428,4.396,4.042,5.639,3.233,0.524,4.159,6.116,4.222,4.121,0.669,5.688,1.351,6.147,8.697,3.103,2.841,3.863,5.871,7.91,4.7,5.41,5.587,1.42,1.956,1.428,4.396,4.042,5.639,3.233,0.524,4.159,6.116,4.222,4.121,0.669,5.688,1.351,6.147,8.697
2015-09,3.124,2.819,3.88,5.785,7.89,4.684,5.734,5.608,1.432,2.008,1.415,4.357,4.107,5.513,3.366,0.517,4.126,6.139,4.195,4.131,0.662,5.601,1.282,6.184,8.864,3.124,2.819,3.88,5.785,7.89,4.684,5.734,5.608,1.432,2.008,1.415,4.357,4.107,5.513,3.366,0.517,4.126,6.139,4.195,4.131,0.662,5.601,1.282,6.184,8.864
2015-10,3.155,2.803,3.875,5.762,7.836,4.648,5.899,5.579,1.418,1.978,1.43,4.355,4.106,5.546,3.391,0.511,4.083,6.097,4.119,4.232,0.69,5.523,1.297,6.209,8.802,3.155,2.803,3.875,5.762,7.836,4.648,5.899,5.579,1.418,1.978,1.43,4.355,4.106,5.546,3.391,0.511,4.083,6.097,4.119,4.232,0.69,5.523,1.297,6.209,8.802
2015-11,3.015,2.778,3.797,5.718,7.788,4.541,5.847,5.421,1.409,2.028,1.484,4.153,4.104,5.649,3.413,0.496,4.113,6.047,4.082,4.122,0.732,5.445,1.266,6.081,8.724,3.015,2.778,3.797,5.718,7.788,4.541,5.847,5.421,1.409,2.028,1.484,4.153,4.104,5.649,3.413,0.496,4.113,6.047,4.082,4.122,0.732,5.445,1.266,6.081,8.724
2015-12,2.901,2.716,3.807,5.482,7.509,4.505,5.734,5.498,1.428,1.949,1.437,4.223,4.089,5.414,3.316,0.501,4.06,5.885,4.025,4.034,0.711,5.279,1.292,5.932,8.287,2.901,2.716,3.807,5.482,7.509,4.505,5.734,5.498,1.428,1.949,1.437,4.223,4.089,5.414,3.316,0.501,4.06,5.885,4.025,4.034,0.711,5.279,1.292,5.932,8.287
2016-01,2.937,2.695,3.656,5.421,7.468,4.437,5.656,5.373,1.425,1.943,1.429,4.143,3.714,5.177,3.33,0.522,3.978,5.7,4.019,4.121,0.709,5.225,1.265,5.856,8.144,2.937,2.695,3.656,5.421,7.468,4.437,5.656,5.373,1.425,1.943,1.429,4.143,3.714,5.177,3.33,0.522,3.978,5.7,4.019,4.121,0.709,5.225,1.265,5.856,8.144
2016-02,2.928,2.697,3.658,5.526,7.502,4.539,5.394,5.541,1.407,1.947,1.478,4.169,3.841,5.346,3.289,0.522,3.964,5.611,3.945,4.137,0.707,5.295,1.309,6.002,8.275,2.928,2.697,3.658,5.526,7.502,4.539,5.394,5.541,1.407,1.947,1.478,4.169,3.841,5.346,3.289,0.522,3.964,5.611,3.945,4.137,0.707,5.295,1.309,6.002,8.275
2016-03,2.95,2.657,3.693,5.662,7.686,4.503,5.494,5.585,1.416,1.909,1.463,4.146,3.901,5.321,3.4,0.512,3.955,5.678,3.929,4.07,0.711,5.47,1.341,5.968,8.514,2.95,2.657,3.693,5.662,7.686,4.503,5.494,5.585,1.416,1.909,1.463,4.146,3.901,5.321,3.4,0.512,3.955,5.678,3.929,4.07,0.711,5.47,1.341,5.968,8.514
2016-04,2.882,2.688,3.707,5.576,7.756,4.53,5.613,5.44,1.406,1.915,1.496,4.13,4.028,5.194,3.42,0.521,3.815,5.638,3.933,3.965,0.703,5.406,1.294,6.026,8.502,2.882,2.688,3.707,5.576,7.756,4.53,5.613,5.44,1.406,1.915,1.496,4.13,4.028,5.194,3.42,0.521,3.815,5.638,3.933,3.965,0.703,5.406,1.294,6.026,8.502
2016-05,2.909,2.668,3.72,5.687,7.759,4.451,5.552,5.442,1.382,1.962,1.489,4.15,3.968,5.381,3.423,0.525,3.717,5.742,3.902,4.003,0.747,5.534,1.32,6.07,8.678,2.909,2.668,3.72,5.687,7.759,4.451,5.552,5.442,1.382,1.962,1.489,4.15,3.968,5.381,3.423,0.525,3.717,5.742,3.902,4.003,0.747,5.534,1.32,6.07,8.678
2016-06,3.076,2.69,3.752,5.601,7.681,4.517,5.374,5.38,1.333,1.977,1.408,4.289,3.94,5.323,3.32,0.529,3.725,5.786,3.84,4.039,0.734,5.443,1.292,6.134,8.69,3.076,2.69,3.752,5.601,7.681,4.517,5.374,5.38,1.333,1.977,1.408,4.289,3.94,5.323,3.32,0.529,3.725,5.786,3.84,4.039,0.734,5.443,1.292,6.134,8.69
2016-07,3.072,2.693,3.832,5.504,7.546,4.521,5.454,5.215,1.349,1.966,1.445,4.292,3.986,5.211,3.217,0.543,3.69,5.865,3.807,3.959,0.74,5.274,1.32,5.76,8.521,3.072,2.693,3.832,5.504,7.546,4.521,5.454,5.215,1.349,1.966,1.445,4.292,3.986,5.211,3.217,0.543,3.69,5.865,3.807,3.959,0.74,5.274,1.32,5.76,8.521
2016-08,3.098,2.767,3.76,5.451,7.569,4.508,5.448,5.203,1.341,1.992,1.426,4.197,3.926,5.124,3.219,0.546,3.657,5.844,3.912,4.062,0.729,5.133,1.292,5.758,8.544,3.098,2.767,3.76,5.451,7.569,4.508,5.448,5.203,1.341,1.992,1.426,4.197,3.926,5.124,3.219,0.546,3.657,5.844,3.912,4.062,0.729,5.133,1.292,5.758,8.544
2016-09,3.135,2.694,3.662,5.315,7.51,4.503,5.481,5.05,1.329,1.974,1.487,4.031,3.89,5.163,3.3,0.547,3.665,5.764,3.791,4.126,0.721,5.016,1.289,6.067,8.585,3.135,2.694,3.662,5.315,7.51,4.503,5.481,5.05,1.329,1.974,1.487,4.031,3.89,5.163,3.3,0.547,3.665,5.764,3.791,4.126,0.721,5.016,1.289,6.067,8.585
2016-10,3.105,2.665,3.632,5.277,7.413,4.497,5.375,5.196,1.343,2.004,1.502,3.945,3.92,5.129,3.47,0.523,3.679,5.693,3.742,4.054,0.697,4.82,1.292,5.807,8.323,3.105,2.665,3.632,5.277,7.413,4.497,5.375,5.196,1.343,2.004,1.502,3.945,3.92,5.129,3.47,0.523,3.679,5.693,3.742,4.054,0.697,4.82,1.292,5.807,8.323
2016-11,3.037,2.663,3.512,5.301,7.217,4.451,5.106,5.143,1.362,2.024,1.478,3.812,3.703,5.187,3.366,0.507,3.597,5.672,3.703,3.931,0.703,4.987,1.302,5.758,7.943,3.037,2.663,3.512,5.301,7.217,4.451,5.106,5.143,1.362,2.024,1.478,3.812,3.703,5.187,3.366,0.507,3.597,5.672,3.703,3.931,0.703,4.987,1.302,5.758,7.943
2016-12,2.906,2.579,3.462,5.159,7.121,4.517,5.102,5.262,1.362,1.96,1.463,3.751,3.633,5.104,3.409,0.503,3.559,5.542,3.619,3.93,0.693,4.884,1.287,5.556,7.91,2.906,2.579,3.462,5.159,7.121,4.517,5.102,5.262,1.362,1.96,1.463,3.751,3.633,5.104,3.409,0.503,3.559,5.542,3.619,3.93,0.693,4.884,1.287,5.556,7.91
2017-01,2.822,2.55,3.354,5.138,7.094,4.447,5.18,5.084,1.351,1.975,1.418,3.727,3.639,4.962,3.397,0.53,3.553,5.543,3.621,3.724,0.7,4.934,1.31,5.733,7.79,2.822,2.55,3.354,5.138,7.094,4.447,5.18,5.084,1.351,1.975,1.418,3.727,3.639,4.962,3.397,0.53,3.553,5.543,3.621,3.724,0.7,4.934,1.31,5.733,7.79
2017-02,2.863,2.627,3.45,5.208,7.154,4.472,5.334,5.042,1.358,1.986,1.473,3.814,3.625,5.186,3.39,0.526,3.557,5.563,3.549,3.781,0.695,5.088,1.29,5.754,7.848,2.863,2.627,3.45,5.208,7.154,4.472,5.334,5.042,1.358,1.986,1.473,3.814,3.625,5.186,3.39,0.526,3.557,5.563,3.549,3.781,0.695,5.088,1.29,5.754,7.848
2017-03,2.994,2.633,3.443,5.264,7.176,4.406,5.745,5.073,1.329,1.929,1.462,3.822,3.699,5.141,3.346,0.531,3.594,5.612,3.59,3.871,0.692,5.152,1.265,5.728,7.856,2.994,2.633,3.443,5.264,7.176,4.406,5.745,5.073,1.329,1.929,1.462,3.822,3.699,5.141,3.346,0.531,3.594,5.612,3.59,3.871,0.692,5.152,1.265,5.728,7.856
2017-04,2.859,2.592,3.441,5.315,7.277,4.497,5.775,5.188,1.328,2.014,1.444,3.802,3.639,5.126,3.404,0.516,3.547,5.707,3.675,3.768,0.686,5.124,1.271,5.577,8.081,2.859,2.592,3.441,5.315,7.277,4.497,5.775,5.188,1.328,2.014,1.444,3.802,3.639,5.126,3.404,0.516,3.547,5.707,3.675,3.768,0.686,5.124,1.271,5.577,8.081
2017-05,2.864,2.554,3.425,5.354,7.315,4.567,5.699,5.411,1.327,1.974,1.499,3.832,3.746,5.145,3.506,0.517,3.559,5.613,3.645,3.78,0.726,5.202,1.272,5.758,8.082,2.864,2.554,3.425,5.354,7.315,4.567,5.699,5.411,1.327,1.974,1.499,3.832,3.746,5.145,3.506,0.517,3.559,5.613,3.645,3.78,0.726,5.202,1.272,5.758,8.082
2017-06,3.093,2.6,3.42,5.498,7.525,4.716,5.665,5.677,1.335,2.032,1.497,3.875,3.625,5.342,3.575,0.507,3.679,5.759,3.768,3.921,0.752,5.29,1.281,5.838,8.349,3.093,2.6,3.42,5.498,7.525,4.716,5.665,5.677,1.335,2.032,1.497,3.875,3.625,5.342,3.575,0.507,3.679,5.759,3.768,3.921,0.752,5.29,1.281,5.838,8.349
2017-07,3.155,2.614,3.417,5.453,7.606,4.733,5.819,5.631,1.327,1.967,1.496,3.821,3.793,5.228,3.467,0.512,3.754,5.741,3.866,4.02,0.764,5.326,1.294,5.939,8.359,3.155,2.614,3.417,5.453,7.606,4.733,5.819,5.631,1.327,1.967,1.496,3.821,3.793,5.228,3.467,0.512,3.754,5.741,3.866,4.02,0.764,5.326,1.294,5.939,8.359
2017-08,3.142,2.593,3.482,5.349,7.479,4.782,6.241,5.69,1.348,2.025,1.489,3.917,3.76,5.189,3.568,0.512,3.732,5.888,3.785,3.956,0.753,5.182,1.305,5.838,8.251,3.142,2.593,3.482,5.349,7.479,4.782,6.241,5.69,1.348,2.025,1.489,3.917,3.76,5.189,3.568,0.512,3.732,5.888,3.785,3.956,0.753,5.182,1.305,5.838,8.251
2017-09,3.108,2.635,3.481,5.329,7.363,4.672,6.366,5.536,1.349,1.986,1.48,3.809,3.896,5.098,3.494,0.505,3.707,5.772,3.801,3.938,0.741,5.168,1.299,5.882,8.084,3.108,2.635,3.481,5.329,7.363,4.672,6.366,5.536,1.349,1.986,1.48,3.809,3.896,5.098,3.494,0.505,3.707,5.772,3.801,3.938,0.741,5.168,1.299,5.882,8.084
2017-10,3.224,2.654,3.378,5.156,7.388,4.549,6.066,5.399,1.328,2.009,1.484,3.812,3.708,5.124,3.511,0.5,3.688,5.369,3.703,3.95,0.723,4.916,1.259,5.778,8.039,3.224,2.654,3.378,5.156,7.388,4.549,6.066,5.399,1.328,2.009,1.484,3.812,3.708,5.124,3.511,0.5,3.688,5.369,3.703,3.95,0.723,4.916,1.259,5.778,8.039
2017-11,2.972,2.623,3.366,5.163,7.352,4.622,5.708,5.329,1.295,2.024,1.451,3.802,3.87,5.09,3.639,0.469,3.638,5.43,3.775,3.851,0.712,4.934,1.242,5.798,7.906,2.972,2.623,3.366,5.163,7.352,4.622,5.708,5.329,1.295,2.024,1.451,3.802,3.87,5.09,3.639,0.469,3.638,5.43,3.775,3.851,0.712,4.934,1.242,5.798,7.906
2017-12,2.914,2.596,3.302,5.207,7.364,4.653,5.629,5.343,1.316,1.97,1.47,3.664,3.809,5.12,3.601,0.462,3.708,5.516,3.729,3.869,0.711,5.02,1.235,5.832,7.927,2.914,2.596,3.302,5.207,7.364,4.653,5.629,5.343,1.316,1.97,1.47,3.664,3.809,5.12,3.601,0.462,3.708,5.516,3.729,3.869,0.711,5.02,1.235,5.832,7.927
2018-01,2.86,2.621,3.224,5.109,7.415,4.431,5.654,,1.281,2.033,1.509,3.694,3.814,4.792,3.681,0.471,3.641,5.247,3.668,3.742,0.682,4.925,1.218,5.608,8.205,2.86,2.621,3.224,5.109,7.415,4.431,5.654,,1.281,2.033,1.509,3.694,3.814,4.792,3.681,0.471,3.641,5.247,3.668,3.742,0.682,4.925,1.218,5.608,8.205
2018-02,2.888,2.631,3.186,5.184,7.392,4.483,5.533,,1.265,2.011,1.478,3.718,3.718,4.996,3.725,0.47,3.642,5.333,3.659,3.882,0.691,4.99,1.176,5.619,8.297,2.888,2.631,3.186,5.184,7.392,4.483,5.533,,1.265,2.011,1.478,3.718,3.718,4.996,3.725,0.47,3.642,5.333,3.659,3.882,0.691,4.99,1.176,5.619,8.297
2018-03,3.008,2.642,3.207,5.259,7.507,4.524,5.527,,1.309,2.039,1.502,3.696,3.702,5.026,3.579,0.468,3.657,5.367,3.728,3.955,0.682,5.107,1.187,5.512,8.339,3.008,2.642,3.207,5.259,7.507,4.524,5.527,,1.309,2.039,1.502,3.696,3.702,5.026,3.579,0.468,3.657,5.367,3.728,3.955,0.682,5.107,1.187,5.512,8.339
2018-04,2.935,2.614,3.293,5.378,7.703,4.451,5.421,,1.281,2.016,1.511,3.73,4.004,5.168,3.328,0.472,3.73,5.523,3.775,3.986,0.685,5.192,1.176,5.785,8.551,2.935,2.614,3.293,5.378,7.703,4.451,5.421,,1.281,2.016,1.511,3.73,4.004,5.168,3.328,0.472,3.73,5.523,3.775,3.986,0.685,5.192,1.176,5.785,8.551
2018-05,3.135,2.546,3.284,5.369,7.64,4.579,5.452,,1.293,1.966,1.523,3.686,3.829,5.234,3.4,0.469,3.685,5.426,3.688,4.122,0.698,5.179,1.143,5.649,8.247,3.135,2.546,3.284,5.369,7.64,4.579,5.452,,1.293,1.966,1.523,3.686,3.829,5.234,3.4,0.469,3.685,5.426,3.688,4.122,0.698,5.179,1.143,5.649,8.247
2018-06,3.13,2.516,3.272,5.481,7.673,4.8,5.247,,1.279,1.896,1.514,3.665,3.811,5.301,3.49,0.469,3.729,5.36,3.824,4.234,0.689,5.205,1.201,5.8,8.509,3.13,2.516,3.272,5.481,7.673,4.8,5.247,,1.279,1.896,1.514,3.665,3.811,5.301,3.49,0.469,3.729,5.36,3.824,4.234,0.689,5.205,1.201,5.8,8.509
2018-07,3.174,2.553,3.262,5.508,7.725,4.764,5.418,,1.293,1.899,1.519,3.79,3.558,5.458,3.481,0.468,3.745,5.36,3.786,4.21,0.69,5.163,1.204,5.694,8.552,3.174,2.553,3.262,5.508,7.725,4.764,5.418,,1.293,1.899,1.519,3.79,3.558,5.458,3.481,0.468,3.745,5.36,3.786,4.21,0.69,5.163,1.204,5.694,8.552
2018-08,3.194,2.605,3.338,5.506,7.724,4.789,5.577,,1.302,1.936,1.511,3.83,3.843,5.399,3.351,0.464,3.792,5.381,3.738,4.184,0.705,5.152,1.227,5.807,8.561,3.194,2.605,3.338,5.506,7.724,4.789,5.577,,1.302,1.936,1.511,3.83,3.843,5.399,3.351,0.464,3.792,5.381,3.738,4.184,0.705,5.152,1.227,5.807,8.561
2018-09,3.219,2.596,3.289,5.386,7.678,4.745,5.501,,1.288,1.951,1.487,3.699,3.799,5.332,3.451,0.467,3.743,5.404,3.701,4.165,0.693,4.995,1.2,5.839,8.544,3.219,2.596,3.289,5.386,7.678,4.745,5.501,,1.288,1.951,1.487,3.699,3.799,5.332,3.451,0.467,3.743,5.404,3.701,4.165,0.693,4.995,1.2,5.839,8.544
2018-10,3.077,2.573,3.367,5.203,7.595,4.78,5.37,,1.277,1.91,1.444,3.786,3.889,5.173,3.456,0.453,3.714,5.252,3.692,4.018,0.685,4.875,1.138,5.791,8.331,3.077,2.573,3.367,5.203,7.595,4.78,5.37,,1.277,1.91,1.444,3.786,3.889,5.173,3.456,0.453,3.714,5.252,3.692,4.018,0.685,4.875,1.138,5.791,8.331
2018-11,3.01,2.614,3.306,5.17,7.572,4.835,5.392,5.518,1.274,1.945,1.501,3.734,3.736,5.222,3.527,0.433,3.781,5.245,3.745,3.863,0.711,4.806,1.196,5.681,8.375,3.01,2.614,3.306,5.17,7.572,4.835,5.392,5.518,1.274,1.945,1.501,3.734,3.736,5.222,3.527,0.433,3.781,5.245,3.745,3.863,0.711,4.806,1.196,5.681,8.375
2018-12,2.902,2.601,3.361,5.202,7.579,4.73,5.502,5.399,1.29,1.924,1.466,3.74,3.947,5.122,3.527,0.437,3.725,5.262,3.709,3.884,0.712,4.791,1.161,5.687,8.311,2.902,2.601,3.361,5.202,7.579,4.73,5.502,5.399,1.29,1.924,1.466,3.74,3.947,5.122,3.527,0.437,3.725,5.262,3.709,3.884,0.712,4.791,1.161,5.687,8.311
2019-01,2.918,2.615,3.199,5.283,7.598,4.778,5.518,5.527,1.274,1.94,1.473,3.666,3.576,5.139,3.466,0.439,3.801,5.253,3.727,3.974,0.73,5.011,1.217,5.601,8.348,2.918,2.615,3.199,5.283,7.598,4.778,5.518,5.527,1.274,1.94,1.473,3.666,3.576,5.139,3.466,0.439,3.801,5.253,3.727,3.974,0.73,5.011,1.217,5.601,8.348
2019-02,2.878,2.558,3.298,5.319,7.597,4.797,5.502,5.593,1.282,1.951,1.486,3.716,3.852,5.145,3.516,0.443,3.758,5.208,3.847,4.002,0.762,4.968,1.206,5.722,8.529,2.878,2.558,3.298,5.319,7.597,4.797,5.502,5.593,1.282,1.951,1.486,3.716,3.852,5.145,3.516,0.443,3.758,5.208,3.847,4.002,0.762,4.968,1.206,5.722,8.529
2019-03,3.131,2.582,3.311,5.439,7.74,4.875,5.608,5.601,1.261,1.962,1.468,3.762,3.648,5.467,3.311,0.445,3.725,5.186,3.831,4.306,0.757,5.16,1.237,5.839,8.575,3.131,2.582,3.311,5.439,7.74,4.875,5.608,5.601,1.261,1.962,1.468,3.762,3.648,5.467,3.311,0.445,3.725,5.186,3.831,4.306,0.757,5.16,1.237,5.839,8.575
2019-04,3.063,2.562,3.354,5.445,7.755,4.931,5.552,5.79,1.285,1.952,1.463,3.804,3.779,5.246,3.426,0.434,3.775,5.288,3.907,4.255,0.767,5.26,1.223,5.856,8.706,3.063,2.562,3.354,5.445,7.755,4.931,5.552,5.79,1.285,1.952,1.463,3.804,3.779,5.246,3.426,0.434,3.775,5.288,3.907,4.255,0.767,5.26,1.223,5.856,8.706
2019-05,3.095,2.651,3.441,5.521,7.798,4.905,5.812,,1.289,1.941,1.479,3.833,4.019,5.476,3.352,0.454,3.822,5.486,4.023,4.147,0.761,5.374,1.197,5.892,8.662,3.095,2.651,3.441,5.521,7.798,4.905,5.812,,1.289,1.941,1.479,3.833,4.019,5.476,3.352,0.454,3.822,5.486,4.023,4.147,0.761,5.374,1.197,5.892,8.662
2019-06,3.13,2.718,3.312,5.627,7.679,4.976,5.878,5.647,1.28,1.905,1.59,3.69,3.941,5.517,3.504,0.448,3.812,5.428,3.951,4.235,0.801,5.401,1.192,5.882,8.133,3.13,2.718,3.312,5.627,7.679,4.976,5.878,5.647,1.28,1.905,1.59,3.69,3.941,5.517,3.504,0.448,3.812,5.428,3.951,4.235,0.801,5.401,1.192,5.882,8.133
2019-07,3.238,2.722,3.411,5.609,7.716,4.998,5.701,5.575,1.281,1.951,1.562,3.83,4.041,5.479,3.468,0.454,3.8,5.462,4.001,4.239,0.798,5.458,1.198,5.977,8.284,3.238,2.722,3.411,5.609,7.716,4.998,5.701,5.575,1.281,1.951,1.562,3.83,4.041,5.479,3.468,0.454,3.8,5.462,4.001,4.239,0.798,5.458,1.198,5.977,8.284
